LSTM1,LSTM2,LSTM3,LSTM4
-0.8084735,887.2902,1563.2026,25.792599
-0.7794425,889.05994,1563.2186,25.794474
-0.7317904,891.67865,1563.2158,25.79607
-0.7137161,890.2383,1563.2169,25.794445
-0.69980294,889.3478,1563.1993,25.791132
-4.62131,482.58194,856.87787,12.752932
-4.607372,482.23914,856.9275,12.755185
-4.5624533,481.27173,856.977,12.755026
-4.5573864,482.0808,856.9912,12.756562
-4.5397487,483.40894,857.0454,12.754852
-4.488151,484.21207,857.0553,12.755555
-4.459337,483.5425,857.0847,12.75575
-4.4224343,484.55292,857.0893,12.754684
-4.3771367,483.22675,857.10724,12.755388
-4.3334794,483.38266,857.126,12.753257
-4.2943153,485.35577,857.1377,12.754582
-4.2519965,483.81964,857.1331,12.754291
-4.2076507,483.73846,857.1481,12.755281
-4.1753497,485.71335,857.1595,12.757977
-4.1524277,485.92157,857.1519,12.758154
-4.1018744,484.3298,857.1515,12.760074
-4.0530376,482.36554,857.1581,12.757156
-4.008941,483.7595,857.1514,12.758823
-3.9790077,483.38055,857.1559,12.754807
-3.9476447,484.01147,857.1512,12.755867
-3.9205816,482.32944,857.14795,12.756932
-3.8847332,483.9439,857.15515,12.758367
-3.8292744,485.95584,857.1459,12.759401
-3.7986515,484.83414,857.14215,12.75815
-3.7734752,483.9763,857.1282,12.75587
-0.902835,888.4163,1562.8562,25.792612
-0.92858684,887.5341,1562.8939,25.79488
-0.922136,886.76526,1562.9567,25.79464
-0.9573983,887.7996,1562.9583,25.797005
-0.969459,889.2519,1563.0208,25.793564
-0.95763236,890.1116,1563.0266,25.793806
-0.9653849,888.8026,1563.0692,25.794699
-0.9628902,891.1908,1563.0692,25.792725
-0.94366807,889.09033,1563.0956,25.79426
-0.927888,888.1484,1563.124,25.790833
-0.91441256,891.207,1563.1455,25.792585
-0.9011935,889.191,1563.138,25.792774
-0.8862995,889.234,1563.1655,25.794636
-0.88633126,891.6377,1563.183,25.797438
-0.8910183,891.8502,1563.1738,25.7983
-0.877513,889.74585,1563.1819,25.800446
-0.8642775,887.07794,1563.1962,25.79476
-0.8503386,889.2003,1563.1896,25.79736
-0.83877546,888.4493,1563.2034,25.789593
-0.8246772,889.66187,1563.2,25.791508
-0.80846494,887.2902,1563.2026,25.792599
-0.77943414,889.0599,1563.2188,25.794474
-0.7317821,891.67865,1563.2158,25.79607
-0.71370775,890.2382,1563.2169,25.794445
-0.6997948,889.3478,1563.1993,25.791132
-3.7851963,889.3328,1554.3904,25.786772
-3.813797,888.54065,1554.4332,25.788944
-3.8063262,887.833,1554.5004,25.78858
-3.837082,888.9301,1554.5098,25.791315
-3.850184,890.41974,1554.5806,25.788109
-3.8387253,891.2997,1554.5947,25.788418
-3.8437207,890.374,1554.6538,25.78892
-3.8367832,893.0151,1554.6663,25.787052
-3.8139758,890.89746,1554.7092,25.788626
-3.7760642,889.8956,1554.757,25.78515
-3.7313445,892.8274,1554.7999,25.785917
-3.6804724,890.83124,1554.8162,25.785736
-3.6311517,890.8102,1554.8748,25.787395
-3.6045108,893.12244,1554.9318,25.789772
-3.5737832,894.14154,1554.969,25.790663
-3.5246134,891.9421,1555.0386,25.792555
-3.4800074,889.26196,1555.1274,25.786871
-3.4257383,891.2583,1555.2236,25.789656
-3.3740044,890.4087,1555.3708,25.782318
-3.3289227,893.7784,1555.5461,25.784424
-3.2698717,893.1132,1555.7966,25.785004
-3.20878,894.4916,1556.1659,25.786404
-3.1247594,896.6968,1556.6592,25.78751
-3.0766966,894.9517,1557.3412,25.785973
-3.0333204,893.6804,1558.2445,25.78299
-2.3636894,725.65375,1280.5654,20.14532
-2.3681984,725.0641,1280.6066,20.147577
-2.3398633,724.166,1280.6631,20.147366
-2.352612,725.2157,1280.6687,20.14941
-2.3479366,726.582,1280.7267,20.146667
-2.313078,727.5161,1280.7327,20.147095
-2.2999551,726.46045,1280.7689,20.14777
-2.2775905,728.2808,1280.7698,20.146158
-2.2422898,726.4513,1280.7914,20.147394
-2.209313,726.05457,1280.8147,20.144516
-2.1791403,728.6716,1280.8312,20.146048
-2.147647,726.85394,1280.8231,20.146004
-2.1131935,726.83966,1280.8445,20.147497
-2.092657,729.07214,1280.8583,20.150291
-2.0785544,729.30066,1280.8488,20.150906
-2.0437613,727.412,1280.8525,20.15294
-2.008942,725.0417,1280.8617,20.148376
-1.975588,726.9103,1280.8539,20.150625
-1.9598317,726.26196,1280.863,20.144379
-1.9443754,727.2568,1280.8584,20.146006
-1.9305887,725.18976,1280.8569,20.147064
-1.9048865,726.8198,1280.8684,20.14877
-1.8596327,729.19135,1280.8617,20.15009
-1.8426695,727.87897,1280.8596,20.14861
-1.8308637,727.00555,1280.8418,20.145689
-3.476386,605.9,1071.7875,16.513027
-3.4718757,605.4277,1071.8329,16.515274
-3.4354165,604.49835,1071.886,16.515089
-3.4394674,605.43646,1071.8959,16.516886
-3.428493,606.77155,1071.952,16.514652
-3.3853896,607.6439,1071.9601,16.515217
-3.3645813,606.7719,1071.993,16.51567
-3.335077,608.1937,1071.9958,16.514326
-3.2948623,606.6129,1072.0156,16.515299
-3.2566607,606.4905,1072.0367,16.512798
-3.222123,608.792,1072.051,16.514215
-3.1852937,607.11505,1072.0447,16.514057
-3.145998,607.07025,1072.0629,16.515306
-3.119673,609.1666,1072.0757,16.518044
-3.1012132,609.38544,1072.0673,16.518442
-3.0586457,607.6431,1072.069,16.520422
-3.016917,605.4729,1072.0769,16.516666
-2.9782467,607.10815,1072.0697,16.518639
-2.9554214,606.5929,1072.0765,16.513483
-2.9320326,607.4082,1072.072,16.514822
-2.9116,605.5306,1072.0697,16.515888
-2.8807857,607.1537,1072.0791,16.517467
-2.8303196,609.34796,1072.0713,16.518652
-2.8064916,608.1293,1072.0685,16.51727
-2.7879968,607.26337,1072.0526,16.514668
-5.8689327,788.7307,1380.3462,22.83893
-5.875254,788.1889,1380.3895,22.84115
-5.837599,787.29736,1380.4496,22.840876
-5.84391,788.55225,1380.4592,22.84341
-5.8367476,790.09674,1380.5261,22.840672
-5.798968,791.0454,1380.5376,22.841146
-5.776873,790.36694,1380.5898,22.84138
-5.7425704,792.6246,1380.6011,22.839752
-5.6960654,790.6167,1380.6366,22.841127
-5.6345162,790.0247,1380.6787,22.83799
-5.5639706,792.64996,1380.7167,22.83861
-5.4883814,790.73346,1380.7314,22.838226
-5.413751,790.62415,1380.7837,22.839603
-5.364166,792.8992,1380.836,22.841959
-5.310706,793.99115,1380.8706,22.842665
-5.234535,791.8766,1380.936,22.84457
-5.1540985,789.3214,1381.0204,22.839663
-5.0714173,791.20886,1381.1152,22.842226
-5.0087533,790.4471,1381.2598,22.835882
-4.9533544,793.6977,1381.4365,22.837826
-4.889977,793.20746,1381.6877,22.83844
-4.826314,794.639,1382.0634,22.83993
-4.736579,796.69434,1382.5659,22.840944
-4.684814,794.98395,1383.2662,22.839611
-4.6401014,793.68365,1384.1964,22.836933
-3.2247777,1078.8618,1884.4763,32.43623
-3.2618623,1077.8875,1884.5121,32.438484
-3.2543921,1077.1626,1884.5824,32.43814
-3.2922196,1078.5116,1884.5842,32.441254
-3.3083653,1080.1522,1884.658,32.43727
-3.3021986,1081.1122,1884.6675,32.4374
-3.308801,1079.9677,1884.7302,32.438168
-3.3017042,1083.2134,1884.7393,32.43586
-3.2761905,1080.6638,1884.7814,32.437813
-3.2371666,1079.257,1884.8318,32.43372
-3.1877449,1082.6619,1884.8773,32.434723
-3.1358414,1080.3999,1884.8914,32.434654
-3.0857096,1080.3851,1884.9536,32.43665
-3.062711,1082.9565,1885.0114,32.439053
-3.0324104,1084.0519,1885.0457,32.44026
-2.9856138,1081.5682,1885.1184,32.442314
-2.933931,1078.506,1885.2094,32.435432
-2.8760195,1080.8762,1885.3055,32.43864
-2.8249044,1079.8734,1885.4573,32.429604
-2.7791114,1083.5308,1885.636,32.432144
-2.7200594,1082.5317,1885.8928,32.432777
-2.6582632,1084.1155,1886.2756,32.434578
-2.5712583,1086.6072,1886.7837,32.43603
-2.5254836,1084.6685,1887.4885,32.43442
-2.4855847,1083.3425,1888.4174,32.431015
-3.476386,605.9,1071.7875,16.513027
-3.4718757,605.4277,1071.8329,16.515274
-3.4354165,604.49835,1071.886,16.515089
-3.4394674,605.43646,1071.8959,16.516886
-3.428493,606.77155,1071.952,16.514652
-3.3853896,607.6439,1071.9601,16.515217
-3.3645813,606.7719,1071.993,16.51567
-3.335077,608.1937,1071.9958,16.514326
-3.2948623,606.6129,1072.0156,16.515299
-3.2566607,606.4905,1072.0367,16.512798
-3.222123,608.792,1072.051,16.514215
-3.1852937,607.11505,1072.0447,16.514057
-3.145998,607.07025,1072.0629,16.515306
-3.119673,609.1666,1072.0757,16.518044
-3.1012132,609.38544,1072.0673,16.518442
-3.0586457,607.6431,1072.069,16.520422
-3.016917,605.4729,1072.0769,16.516666
-2.9782467,607.10815,1072.0697,16.518639
-2.9554214,606.5929,1072.0765,16.513483
-2.9320326,607.4082,1072.072,16.514822
-2.9116,605.5306,1072.0697,16.515888
-2.8807857,607.1537,1072.0791,16.517467
-2.8303196,609.34796,1072.0713,16.518652
-2.8064916,608.1293,1072.0685,16.51727
-2.7879968,607.26337,1072.0526,16.514668
-1.1355711,888.49036,1562.1726,25.792141
-1.161553,887.61536,1562.2108,25.7944
-1.1550198,886.85144,1562.2738,25.79415
-1.1899182,887.8909,1562.2761,25.796545
-1.2020628,889.3462,1562.3394,25.793125
-1.1902659,890.2075,1562.3457,25.793371
-1.1977959,888.92944,1562.3898,25.794231
-1.1949425,891.33813,1562.3907,25.792267
-1.1754313,889.2362,1562.4185,25.793802
-1.1578636,888.2894,1562.4485,25.790373
-1.1418655,891.33777,1562.4716,25.792046
-1.1256062,889.3234,1562.4661,25.792206
-1.1079324,889.36127,1562.4961,25.794048
-1.1058104,891.75757,1562.5167,25.79682
-1.1076378,892.0352,1562.5112,25.797682
-1.0912528,889.9232,1562.5244,25.799809
-1.0754844,887.2543,1562.5446,25.794123
-1.0582889,889.36646,1562.5464,25.796738
-1.0434821,888.6075,1562.5708,25.789005
-1.0268822,889.9942,1562.582,25.790936
-1.0072112,887.7603,1562.6046,25.791985
-0.97559136,889.4985,1562.6492,25.793821
-0.9250027,892.08386,1562.6864,25.79538
-0.90450674,890.61884,1562.7424,25.793758
-0.888215,889.69763,1562.7992,25.790474
-0.9089707,887.7327,1561.6707,25.768892
-0.9346334,886.8517,1561.7081,25.77116
-0.9280905,886.0823,1561.7711,25.77092
-0.9632584,887.11676,1561.7725,25.773285
-0.97524875,888.56866,1561.835,25.769848
-0.9633253,889.4287,1561.8408,25.770088
-0.9709901,888.1207,1561.8835,25.77098
-0.9684122,890.5066,1561.8835,25.769009
